filename_video,avg_fps,max_memory_mb,total_time_sec
std_14813939_1080_1920_30fps.mp4,44.92,375.41,10.56
std_14813946_1080_1920_30fps.mp4,35.37,375.59,18.63
std_5210841-uhd_3840_2160_30fps.mp4,53.56,380.27,34.68
std_VID_20251129_140711.mp4,39.34,380.94,6.7
std_VID_20251201_155431.mp4,51.59,381.21,7.25
std_VID_20251201_155912.mp4,46.1,382.49,11.16
std_VID_20251201_155930.mp4,23.9,382.83,25.35
std_VID_20251201_155948.mp4,34.63,382.95,19.06
std_VID_20251201_160017.mp4,29.05,383.57,16.08
std_VID_20251201_160045.mp4,45.58,383.65,17.32
std_VID_20251201_160105.mp4,58.73,381.91,9.63
std_VID_20251201_160129.mp4,39.12,383.66,19.88
std_VID_20251201_160147.mp4,34.71,384.55,15.97
std_VID_20251201_160200.mp4,29.21,384.71,15.14
std_VID_20251201_160213.mp4,38.26,382.73,12.39
std_VID_20251201_160243.mp4,47.67,377.71,8.55
std_VID_20251201_160500.mp4,50.92,379.6,14.72
std_VID_20251201_160514.mp4,43.61,381.26,14.17
std_VID_20251201_160537.mp4,51.01,378.56,17.19
std_VID_20251201_160552.mp4,37.54,380.41,14.73
std_VID_20251201_160606.mp4,39.3,380.74,13.52
std_VID_20251201_160625.mp4,40.93,381.06,13.39
std_VID_20251201_160643.mp4,56.07,381.77,11.08
std_VID_20251201_160728.mp4,43.42,381.94,30.24
std_VID_20251201_160752.mp4,31.05,382.12,20.5
std_VID_20251201_161128.mp4,64.83,382.26,8.67
std_VID_20251201_161142.mp4,42.74,382.25,12.96
std_VID_20251201_161159.mp4,50.44,382.35,12.68
std_VID_20251201_161214.mp4,60.53,382.41,8.59
std_VID_20251201_161230.mp4,56.75,382.46,11.75
std_VID_20251201_161240.mp4,56.69,382.42,6.25
std_VID_20251201_161259.mp4,53.59,382.45,12.84
std_VID_20251201_161319.mp4,59.51,382.45,11.62
std_VID_20251201_161333.mp4,54.25,217.24,10.63
std_VID_20251201_161627.mp4,27.76,217.25,15.12
std_VID_20251201_161644.mp4,25.49,217.35,20.48
std_VID_20251201_171503.mp4,20.19,217.34,20.44
std_VID_20251201_171520.mp4,19.53,217.4,22.5
std_VID_20251201_171727.mp4,21.0,217.42,20.26
